股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	净资产收益率B	投入资本回报率	投资收益率	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B
000004	2010-12-31	A	C27	0.11685	0.097419	0.18446	0.15226	-0.004249	23.54194	15.504245	1.41491	257.966938	4.686869	1.005933	5.161881	1.709848
000004	2011-12-31	A	C27	0.061592	0.048318	0.068701	0.061218	-0.008469	16.861982	21.646328	0.862102	423.383776	2.943861	0.712151	2.443287	0.869908
000004	2016-12-31	A	C27	0.156791	0.127625	0.232602	0.226309	0.904886	167.604472	2.183713	1.466653	249.54778	4.476773	1.248672	8.075176	3.559649
000004	2017-12-31	A	C27	0.034208	0.023925	0.032528	0.02317	0.225717	24.833489	14.697894	4.85579	75.167995	10.561173	0.991238	4.285487	1.302084
000004	2018-12-31	A	C27	-0.089053	-0.069716	-0.117646	-0.125566	0.084222	19.979281	18.268926	8.96081	40.732925	10.373881	1.641486	22.779014	4.240628
000078	2010-12-31	A	C27	0.052793	0.015118	0.069303	0.046964	0.034881	4.765488	76.592366	8.078775	45.180117	4.46058	1.641257	9.327643	3.278739
000078	2011-12-31	A	C27	0.047151	0.01378	0.066065	0.055329	-0.887327	3.910209	93.345394	7.658536	47.659239	4.046543	1.554641	12.862208	4.915825
000153	2010-12-31	A	C27	0.053513	0.032625	0.056512	0.052727	1.096914	4.897166	74.532903	5.521162	66.109272	5.40637	1.914513	2.299919	1.580657
000153	2011-12-31	A	C27	0.023038	0.007651	0.013066	0.025332	0.14679	6.808356	53.610593	7.303001	49.979454	7.820169	2.735058	3.16383	2.042222
000153	2012-12-31	A	C27	0.033005	0.01304	0.023509	0.034407	0.14679	6.600974	55.446363	6.670422	54.869092	7.553613	2.792788	3.297592	2.088371
000153	2013-12-31	A	C27	0.036684	0.015846	0.029725	0.030503	0.147075	5.319984	68.609229	5.466537	66.769876	6.070261	1.983078	2.650372	1.620177
000153	2014-12-31	A	C27	0.040055	0.019143	0.036277	0.040154	0.108549	4.702551	77.617446	5.357839	68.124481	5.203419	1.817606	2.73333	1.400463
000153	2015-12-31	A	C27	0.031896	0.013854	0.026997	0.033709	0.064258	3.891619	93.791299	4.338057	84.139051	4.142567	1.642887	2.567764	1.172759
000153	2016-12-31	A	C27	0.038979	0.018953	0.038872	0.039719	0.049178	4.308979	84.938915	5.469268	66.919376	4.72057	1.895793	2.803766	1.518659
000153	2017-12-31	A	C27	0.048689	0.024856	0.055071	0.048878	0.050178	4.362384	83.669847	5.288423	69.018685	4.874398	1.926678	3.136382	1.997083
000153	2018-12-31	A	C27	0.043057	0.021022	0.048329	0.04457	0.012949	4.753653	76.783055	4.262146	85.637611	4.481158	1.954144	3.86599	2.239106
000153	2019-12-31	A	C27	0.048176	0.024548	0.06156	0.047234	0.329171	4.924507	74.119095	4.225749	86.37522	4.367771	1.946325	4.387147	1.998651
000153	2020-12-31	A	C27	0.049693	0.028377	0.073581	0.058449	2.661394	4.905514	74.609919	4.280181	85.510402	4.895281	1.910101	4.770006	1.786385
000403	2010-12-31	A	C27	0.045076	-0.010021	-0.053005	0.034753	0	27.244796	13.397054	1.364691	267.459813	3.517192	1.91829	0.960695	0.678574
000423	2010-12-31	A	C27	0.202052	0.176485	0.224822	0.199121	0.094322	19.495621	18.722153	5.58083	65.402458	6.278472	0.994091	6.548405	2.774633
000423	2011-12-31	A	C27	0.259412	0.222457	0.276603	0.23969	0.360879	29.813523	12.242766	3.69772	98.709475	6.109528	0.954275	6.33715	2.702119
000423	2012-12-31	A	C27	0.256092	0.220595	0.270619	0.234937	0.976361	38.312045	9.553131	2.262259	161.785189	5.69287	0.820439	6.15191	2.907565
000423	2013-12-31	A	C27	0.245776	0.215776	0.259639	0.226186	0.376566	28.323248	12.88694	3.081526	118.447808	11.300222	0.973428	6.902406	2.630617
000423	2014-12-31	A	C27	0.234079	0.204213	0.246992	0.218236	0.701188	27.044449	13.4963	1.370881	266.25214	8.530192	0.85029	4.07543	1.999554
000423	2015-12-31	A	C27	0.237695	0.203848	0.249845	0.223995	1.054157	25.693286	14.206046	1.209333	301.819267	9.565662	0.919024	4.052915	2.589364
000423	2016-12-31	A	C27	0.234897	0.199923	0.23985	0.216531	0.858264	18.206217	20.103023	0.880878	415.494541	7.903028	0.901427	4.542937	2.781208
000423	2017-12-31	A	C27	0.216785	0.183108	0.223906	0.206285	0.758545	16.548148	22.056849	0.778409	468.905164	4.333183	0.856096	4.714416	2.889741
000423	2018-12-31	A	C27	0.187421	0.159004	0.196845	0.180126	0.668774	10.431121	34.991445	0.715748	509.956018	4.805328	0.719145	4.261885	2.514186
000423	2019-12-31	A	C27	-0.036645	-0.0349	-0.041718	-0.039245	0.080568	2.732769	133.564161	0.449673	811.700947	6.229888	0.312053	1.521008	0.901839
000423	2020-12-31	A	C27	0.013429	0.003617	0.004137	0.002766	0.010387	3.482861	105.08602	0.510779	716.55256	6.28366	0.426539	1.548106	1.022934
000513	2010-12-31	A	C27	0.157151	0.133353	0.186033	0.149957	-0.011183	6.720964	54.307686	3.258832	112.003319	7.413336	1.364285	3.35625	1.95528
000513	2011-12-31	A	C27	0.107062	0.093842	0.137255	0.110114	-0.008631	6.320081	57.752424	3.19661	114.183463	7.503301	1.249246	3.339034	1.976092
000513	2012-12-31	A	C27	0.106127	0.092847	0.153502	0.112342	0.021669	5.902741	62.005092	3.233401	113.193507	6.040104	1.340909	3.556166	1.81112
000513	2013-12-31	A	C27	0.100635	0.085901	0.154463	0.099716	0.031276	5.054997	72.20578	2.852532	127.956496	4.532389	1.551298	2.975765	1.479124
000513	2014-12-31	A	C27	0.097004	0.079838	0.144042	0.107089	0.04431	5.215057	69.989647	2.878072	126.821011	4.142031	1.803998	2.253534	1.435958
