Stkcd	Accper	Typrep	Indcd	F010101A	F010201A	F010501A	F011201A	F011601A	F011801A	F011901A	Indnme
股票代码	截止日期	报表类型编码	行业代码	流动比率	速动比率	营运资金与借款比	资产负债率	权益乘数	权益对负债比率	长期资本负债率	行业名称
000004	2016-12-31	A	C27	3.657461	3.469742		0.203456	1.255424	3.91506	0.047138	医药制造业
000004	2016-12-31	B	C27	3.60287	3.60287		0.200325	1.250508	3.991882	0.008632	医药制造业
000004	2017-12-31	A	C27	2.068985	1.857892		0.315247	1.46038	2.17212	0.072836	医药制造业
000004	2017-12-31	B	C27	1.961236	1.961236		0.292185	1.412798	2.422491	0.008865	医药制造业
000004	2018-12-31	A	C27	1.805236	1.805236		0.477966	1.915584	1.092199	0.004345	医药制造业
000004	2018-12-31	B	C27	2.144819	2.144819		0.378965	1.610215	1.638766	0.008982	医药制造业
000004	2019-12-31	A	C27	5.6213	5.6213		0.060243	1.064105	15.599321	0.003172	医药制造业
000004	2019-12-31	B	C27	5.195565	5.195565		0.015353	1.015592	64.134332	0.000573	医药制造业
000008	2016-12-31	A	C37	2.245238	1.948583	6.389167	0.246583	1.327286	3.055428	0.008612	铁路、船舶、航空航天和其它运输设备制造业
000008	2016-12-31	B	C37	3.300138	3.300138	45.41243	0.096874	1.107265	9.322716	0	铁路、船舶、航空航天和其它运输设备制造业
000008	2017-12-31	A	C37	1.890285	1.686087	2.768937	0.326949	1.485771	2.058583	0.008578	铁路、船舶、航空航天和其它运输设备制造业
000008	2017-12-31	B	C37	0.839536	0.837552	-0.420186	0.347264	1.532014	1.879649	0	铁路、船舶、航空航天和其它运输设备制造业
000008	2018-12-31	A	C37	2.032443	1.782461	2.645128	0.29251	1.413447	2.41869	0.037708	铁路、船舶、航空航天和其它运输设备制造业
000008	2018-12-31	B	C37	0.720639	0.71655	-0.620474	0.348332	1.534524	1.870824	0.055017	铁路、船舶、航空航天和其它运输设备制造业
000008	2019-12-31	A	C37	1.613198	1.404757	1.108619	0.370962	1.589728	1.695697	0.046033	铁路、船舶、航空航天和其它运输设备制造业
000008	2019-12-31	B	C37	0.671348	0.671348	-0.650627	0.453773	1.830739	1.203747	0.059716	铁路、船舶、航空航天和其它运输设备制造业
000008	2020-12-31	A	C37	1.347237	1.110978	0.533661	0.480167	1.923695	1.082608	0.190983	铁路、船舶、航空航天和其它运输设备制造业
000008	2020-12-31	B	C37	0.540176	0.538862	-0.602084	0.573468	2.344487	0.743778	0.281625	铁路、船舶、航空航天和其它运输设备制造业
000016	2016-12-31	A	C39	0.98231	0.668192	-0.036403	0.807546	5.19606	0.238319	0.076666	计算机、通信和其他电子设备制造业
000016	2016-12-31	B	C39	0.883907	0.734084	-0.272601	0.82607	5.749432	0.210551	0.049227	计算机、通信和其他电子设备制造业
000016	2017-12-31	A	C39	1.256791	0.94475	0.544069	0.652011	2.873651	0.533717	0.038615	计算机、通信和其他电子设备制造业
000016	2017-12-31	B	C39	1.183667	1.049923	0.835418	0.692424	3.251226	0.444202	0.036528	计算机、通信和其他电子设备制造业
000016	2018-12-31	A	C39	0.963285	0.721283	-0.058101	0.713465	3.489977	0.40161	0.083213	计算机、通信和其他电子设备制造业
000016	2018-12-31	B	C39	0.955011	0.942722	-0.110476	0.755788	4.094808	0.323122	0.04524	计算机、通信和其他电子设备制造业
000016	2019-12-31	A	C39	1.147972	0.907813	0.215263	0.766908	4.290143	0.303938	0.514376	计算机、通信和其他电子设备制造业
000016	2019-12-31	B	C39	1.206245	1.196519	0.548565	0.837958	6.171222	0.193378	0.586719	计算机、通信和其他电子设备制造业
000016	2020-12-31	A	C39	0.93178	0.764195	-0.108551	0.78505	4.652248	0.273804	0.531779	计算机、通信和其他电子设备制造业
000016	2020-12-31	B	C39	1.165787	1.15477	0.381525	0.812542	5.334524	0.230706	0.56929	计算机、通信和其他电子设备制造业
000016	2021-12-31	A	C39	0.889219	0.713612	-0.190828	0.744174	3.908903	0.343772	0.389392	计算机、通信和其他电子设备制造业
000016	2021-12-31	B	C39	1.052262	1.04407	0.165092	0.816765	5.457478	0.224342	0.459954	计算机、通信和其他电子设备制造业
000017	2016-12-31	A	C37	1.257989	1.173264		0.680489	3.129781	0.469532	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2016-12-31	B	C37	1.052807	1.052807		0.611697	2.57531	0.634796	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2017-12-31	A	C37	1.210589	1.159817		0.743597	3.900115	0.344814	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2017-12-31	B	C37	1.086708	1.086708		0.794566	4.867735	0.258549	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2018-12-31	A	C37	1.187177	1.144758		0.768163	4.313366	0.301808	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2018-12-31	B	C37	1.090791	1.090791		0.811898	5.316273	0.231681	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2019-12-31	A	C37	1.098544	0.980039		0.817616	5.482948	0.223068	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2019-12-31	B	C37	0.854952	0.82653		0.951385	20.569914	0.051099	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2020-12-31	A	C37	1.312509	1.195576		0.720498	3.577792	0.387929	0	铁路、船舶、航空航天和其它运输设备制造业
000017	2020-12-31	B	C37	0.673895	0.664258		0.915601	11.84847	0.092179	0	铁路、船舶、航空航天和其它运输设备制造业
000019	2016-12-31	A	C15	5.274659	4.047031	98.159702	0.109292	1.122702	8.149817	0.013151	酒、饮料和精制茶制造业
000019	2016-12-31	B	C15	1.494363	1.474283	38.332244	0.248767	1.331145	3.019821	0.000504	酒、饮料和精制茶制造业
000019	2017-12-31	A	C15	5.668918	4.001202	43.479302	0.100181	1.111335	8.981884	0.014436	酒、饮料和精制茶制造业
000019	2017-12-31	B	C15	1.477219	1.461402	14.976148	0.216887	1.276955	3.610696	0.000156	酒、饮料和精制茶制造业
000019	2018-12-31	A	C15	2.888984	0.995997	4.612712	0.329474	1.491367	2.035139	0.129621	酒、饮料和精制茶制造业
000019	2018-12-31	B	C15	1.367922	1.339973		0.066967	1.071773	13.93277	0.000013	酒、饮料和精制茶制造业
000020	2016-12-31	A	C39	1.127529	0.976315	0.218288	0.494528	1.97835	1.022129	0.008081	计算机、通信和其他电子设备制造业
000020	2016-12-31	B	C39	0.81841	0.818315	-0.234745	0.345322	1.527469	1.895845	0.008634	计算机、通信和其他电子设备制造业
000020	2017-12-31	A	C39	1.126462	0.93105	0.234544	0.490804	1.963878	1.037475	0.000201	计算机、通信和其他电子设备制造业
000020	2017-12-31	B	C39	0.804636	0.804541	-0.253155	0.34405	1.524506	1.906557	0.000217	计算机、通信和其他电子设备制造业
000020	2018-12-31	A	C39	1.09279	0.877904	0.168305	0.475007	1.904787	1.105232	0.000199	计算机、通信和其他电子设备制造业
000020	2018-12-31	B	C39	0.79478	0.794675	-0.29068	0.324279	1.479901	2.083764	0.000218	计算机、通信和其他电子设备制造业
000020	2019-12-31	A	C39	1.512726	1.192808	1.099351	0.463615	1.864334	1.15696	0.186244	计算机、通信和其他电子设备制造业
000020	2019-12-31	B	C39	1.953904	1.953618	0.674444	0.294779	1.417995	2.392376	0.196758	计算机、通信和其他电子设备制造业
000020	2020-12-31	A	C39	1.492171	1.182282	1.515601	0.464384	1.86701	1.15339	0.16222	计算机、通信和其他电子设备制造业
000020	2020-12-31	B	C39	1.775157	1.77488	0.679894	0.276187	1.381572	2.620741	0.169005	计算机、通信和其他电子设备制造业
000021	2016-12-31	A	C39	1.167347	1.003527	0.263547	0.547908	2.21194	0.825123	0.035366	计算机、通信和其他电子设备制造业
000021	2016-12-31	B	C39	1.231654	1.171403	0.364694	0.374815	1.599527	1.667983	0.005121	计算机、通信和其他电子设备制造业
000021	2017-12-31	A	C39	1.078056	0.919559	0.103547	0.642835	2.799824	0.55561	0.04394	计算机、通信和其他电子设备制造业
000021	2017-12-31	B	C39	0.943777	0.907836	-0.083423	0.40246	1.673527	1.484721	0.009108	计算机、通信和其他电子设备制造业
000021	2018-12-31	A	C39	1.119459	0.875781	0.160311	0.576803	2.362967	0.733693	0.031107	计算机、通信和其他电子设备制造业
000021	2018-12-31	B	C39	0.829692	0.790679	-0.19609	0.383121	1.621063	1.610143	0.004823	计算机、通信和其他电子设备制造业
000021	2019-12-31	A	C39	1.077716	0.87451	0.104875	0.615132	2.598293	0.625668	0.029154	计算机、通信和其他电子设备制造业
000021	2019-12-31	B	C39	0.851333	0.842875	-0.197631	0.449295	1.815855	1.225708	0.014768	计算机、通信和其他电子设备制造业
000021	2020-12-31	A	C39	1.235896	1.028213	0.279363	0.629761	2.70096	0.587903	0.217452	计算机、通信和其他电子设备制造业
000021	2020-12-31	B	C39	1.04896	1.048516	0.083615	0.583267	2.399618	0.714481	0.272763	计算机、通信和其他电子设备制造业
000030	2016-12-31	A	C36	1.751659	1.491169	22.097954	0.3635	1.571092	1.751031	0.121557	汽车制造业
000030	2016-12-31	B	C36	2.005766	1.768442		0.237787	1.311969	3.205451	0.063884	汽车制造业
000030	2017-12-31	A	C36	1.686763	1.487258	36.43007	0.389791	1.638782	1.56548	0.120006	汽车制造业
000030	2017-12-31	B	C36	2.02278	1.843599		0.266221	1.362808	2.756275	0.061783	汽车制造业
000030	2018-12-31	A	C36	1.574832	1.387285	8.821805	0.389844	1.638926	1.565126	0.100326	汽车制造业
000030	2018-12-31	B	C36	2.113704	1.9395		0.248168	1.330084	3.029536	0.053181	汽车制造业
000030	2019-12-31	A	C36	1.497576	1.291366	7.565147	0.423117	1.733453	1.363413	0.110499	汽车制造业
000030	2019-12-31	B	C36	1.959992	1.758743		0.26165	1.35437	2.821906	0.05382	汽车制造业
000030	2020-12-31	A	C36	1.528329	1.325554	12.217406	0.427812	1.747678	1.337474	0.112962	汽车制造业
