Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000004	2016-12-31	A	C27	167.604472	2.183713	1.466653	249.54778	4.476773	2.621342	3.905	1.248672	8.075176	3.559649	0.924405	1.684765	医药制造业
000004	2016-12-31	B	C27	9.175674	39.888078				0.024908	0.042594	0.014436	0.763437	0.017056	0.007818	0.010232	医药制造业
000004	2017-12-31	A	C27	24.833489	14.697894	4.85579	75.167995	10.561173	1.605434	1.414968	0.991238	4.285487	1.302084	0.562797	0.765161	医药制造业
000004	2017-12-31	B	C27						0.016536	0.021835	0.010142	0.818031	0.016933	0.006343	0.00844	医药制造业
000004	2018-12-31	A	C27	19.979281	18.268926	8.96081	40.732925	10.373881	3.499742	4.921123	1.641486	22.779014	4.240628	1.183406	1.997007	医药制造业
000004	2018-12-31	B	C27						0.018808	0.025548	0.009724	1.04446	0.021415	0.006687	0.010104	医药制造业
000004	2019-12-31	A	C27	0.742593	491.520927			1.339469	0.408528	1.100623	0.276651	67.232286	0.20364	0.117298	0.136349	医药制造业
000004	2019-12-31	B	C27						0.05781	0.063352	0.038592	5.435852	0.006432	0.005513	0.005794	医药制造业
000008	2016-12-31	A	C37	1.557378	235.010383	1.985879	184.301259	2.56069	1.081166	2.540432	0.618283	6.141753	0.656685	0.318453	0.413192	铁路、船舶、航空航天和其它运输设备制造业
000008	2016-12-31	B	C37	2.515824	145.479175			0.785567	0.005667	0.024681	0.003944	18.518516	0.001408	0.001038	0.001128	铁路、船舶、航空航天和其它运输设备制造业
000008	2017-12-31	A	C37	1.120923	325.624508	1.85602	196.657364	2.200283	0.847352	2.313311	0.427799	10.894142	0.584658	0.247039	0.348954	铁路、船舶、航空航天和其它运输设备制造业
