Stkcd	Accper	Indcd	F100101B	F100201B	F100301B	F100401A	F100901A	F100902A	F100903A	F100904A	Indnme
股票代码	截止日期	行业代码	市盈率1	市销率1	市现率1	市净率	托宾Q值A	托宾Q值B	托宾Q值C	托宾Q值D	行业名称
000004	2016-12-31	C27	94.937131	13.107216	25.488807	21.159132	16.863928	18.961771	17.057629	19.179568	医药制造业
000004	2017-12-31	C27	318.961505	13.5593	130.156878	10.209014	7.229836	7.942054	7.305903	8.025615	医药制造业
000004	2018-12-31	C27		3.669285		7.342885	4.270074	4.270074	4.311202	4.311202	医药制造业
000004	2019-12-31	C27		34.444827		2.65479	1.329375	4.093768	1.329595	4.094445	医药制造业
000008	2016-12-31	C37	49.346946	13.9555		4.241502	2.299946	3.658426	3.442202	5.475363	铁路、船舶、航空航天和其它运输设备制造业
000008	2017-12-31	C37	27.7162	10.578002		3.430698	2.16656	3.329549	2.636338	4.051499	铁路、船舶、航空航天和其它运输设备制造业
000008	2018-12-31	C37	31.639719	4.217431		1.460839	1.308414	2.063514	1.339989	2.113313	铁路、船舶、航空航天和其它运输设备制造业
000008	2019-12-31	C37	22.068035	3.134733	1897.679242	1.332319	1.197542	1.780589	1.209041	1.797687	铁路、船舶、航空航天和其它运输设备制造业
000008	2020-12-31	C37		3.68352	13.582093	1.059179	1.029485	1.394684	1.030763	1.396417	铁路、船舶、航空航天和其它运输设备制造业
000016	2016-12-31	C39	117.817104	0.534984		3.272514	1.34468	1.368945	1.34468	1.368945	计算机、通信和其他电子设备制造业
000016	2017-12-31	C39	2.868611	0.467281		1.779923	1.152519	1.162818	1.152521	1.16282	计算机、通信和其他电子设备制造业
000016	2018-12-31	C39	11.668454	0.169137		0.825462	0.918139	0.964745	0.918139	0.964744	计算机、通信和其他电子设备制造业
000016	2019-12-31	C39	31.4171	0.190909		1.060042	0.972553	1.02029	0.972553	1.02029	计算机、通信和其他电子设备制造业
000016	2020-12-31	C39	29.471026	0.316106	89.110002	1.484626	1.030459	1.070487	1.03046	1.070487	计算机、通信和其他电子设备制造业
