Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
000004	2016-12-31	A	C27	0.156791	0.127625	0.172394	1.114875	0.232602	0.226309	0.256054	0.346221	0.653779	0.17929	0.138062	0.041788	0.094999	0.009062	0.904886		医药制造业
000004	2017-12-31	A	C27	0.034208	0.023925	0.042138	0.182179	0.032528	0.02317	0.0437	0.619412	0.380588	0.063467	0.042511	0.536649	0.107336	-0.009319	0.225717		医药制造业
000004	2018-12-31	A	C27	-0.089053	-0.069716	-0.096702	-1.341939	-0.117646	-0.125566	-0.144284	0.818792	0.181208	-0.065039	-0.058911	0.738372	0.051024	-0.004109	0.084222	0.047608	医药制造业
000004	2019-12-31	A	C27	0.004754	-0.003905	-0.009211	-2.238449	-0.00454	-0.003744	0.005507	0.730102	0.269898	0.067443	-0.033294	0.7677	0.182988	-0.015441		0.009401	医药制造业
000008	2016-12-31	A	C37	0.109348	0.09006	0.174853	1.736911	0.116852	0.079899	0.140283	0.527716	0.472284	0.3005	0.282804	0.068571	0.207211	0.0007	0.324022		铁路、船舶、航空航天和其它运输设备制造业
000008	2017-12-31	A	C37	0.110164	0.094283	0.163271	4.157794	0.13318	0.108168	0.154275	0.488964	0.511036	0.437721	0.381654	0.065704	0.199996	0.008734	4.481903		铁路、船舶、航空航天和其它运输设备制造业
000008	2018-12-31	A	C37	0.046609	0.032338	0.056443	1.236642	0.04686	0.045169	0.065947	0.489184	0.510816	0.168828	0.133295	0.092628	0.140752	0.022499	0.049403	0.083557	铁路、船舶、航空航天和其它运输设备制造业
000008	2019-12-31	A	C37	0.056981	0.04064	0.074676	1.217074	0.061065	0.054076	0.082029	0.486367	0.513633	0.170799	0.142049	0.091933	0.136936	0.029402	0.564429	0.077097	铁路、船舶、航空航天和其它运输设备制造业
000008	2020-12-31	A	C37	-0.059458	-0.071722	-0.139416	-1.994705	-0.125232	-0.068749	-0.091375	0.379026	0.620974	-0.446822	-0.465169	0.125715	0.184954	0.066892	-0.005658	0.109323	铁路、船舶、航空航天和其它运输设备制造业
